"ID","PEN","LACT","Event","DIM","Date","Remark","R","T","B","Protocols","Technician",
       445 ,    11 ,   4 ,FRESH      ,   0 ,07/22/23,                ,  ,   ,  ,                ,,
       445 ,     3 ,   4 ,LAB        ,   1 ,07/23/23,E PASTE         ,  ,   ,  ,                ,,
       445 ,     3 ,   4 ,RETAINP    ,   2 ,07/24/23,                ,  ,   ,  ,                ,,
       445 ,     3 ,   4 ,LAB        ,   2 ,07/24/23,PASTE E         ,  ,   ,  ,                ,,
       445 ,     3 ,   4 ,LAB        ,   3 ,07/25/23,PASTE           ,  ,   ,  ,                ,,
       445 ,     3 ,   4 ,LAB        ,   4 ,07/26/23,E               ,  ,   ,  ,                ,,
       445 ,     3 ,   4 ,METR       ,   6 ,07/28/23,                ,  ,   ,  ,                ,,
       445 ,     3 ,   4 ,LAB        ,  21 ,08/12/23,ERE             ,  ,   ,  ,                ,,
       445 ,     3 ,   4 ,MOVE       ,  36 ,08/27/23,F003T001        ,  ,   ,  ,                ,,
       445 ,     1 ,   4 ,OPEN       ,  78 ,10/08/23,528J4887        ,O ,15 ,A ,                ,James,
       445 ,     1 ,   4 ,RECHK      , 136 ,12/05/23,                ,  ,   ,  ,                ,,
       445 ,     1 ,   4 ,OPEN       , 146 ,12/15/23,252NR12241      ,O ,15 ,E ,                ,James,
       445 ,     1 ,   4 ,OPEN       , 197 ,02/04/24,252NR12241      ,O ,15 ,A ,                ,James,
       445 ,     1 ,   4 ,BRED       , 219 ,02/26/24,252NR12241      ,- ,15 ,E ,                ,James,
       467 ,     2 ,   3 ,PREG       , 140 ,07/26/23,11AN2277        ,P ,15 ,A ,                ,James,
       467 ,     2 ,   3 ,MOVE       , 239 ,11/02/23,F002T001        ,  ,   ,  ,                ,,
       529 ,     4 ,   3 ,DRY        , 359 ,11/16/23,                ,  ,   ,  ,                ,,
       529 ,    10 ,   3 ,CUDMV      , 387 ,12/14/23,                ,  ,   ,  ,                ,,
       529 ,    11 ,   4 ,FRESH      ,   0 ,01/14/24,                ,  ,   ,  ,                ,,
       529 ,     3 ,   4 ,MOVE       ,  47 ,03/01/24,F003T001        ,  ,   ,  ,                ,,
       538 ,     1 ,   3 ,DRY        , 288 ,07/20/23,                ,  ,   ,  ,                ,,
       538 ,    10 ,   3 ,CUDMV      , 316 ,08/17/23,                ,  ,   ,  ,                ,,
       538 ,    11 ,   4 ,FRESH      ,   0 ,10/07/23,                ,  ,   ,  ,                ,,
       538 ,     3 ,   4 ,LAB        ,   1 ,10/08/23,PASTE           ,  ,   ,  ,                ,,
       538 ,     3 ,   4 ,MOVE       ,  41 ,11/17/23,F003T004        ,  ,   ,  ,                ,,
       538 ,     4 ,   4 ,OPEN       ,  64 ,12/10/23,252NR12241      ,O , 4 ,A ,                ,Relief,
       538 ,     4 ,   4 ,OPEN       ,  88 ,01/03/24,252NR12241      ,O ,15 ,E ,                ,James,
       538 ,     4 ,   4 ,OPEN       , 110 ,01/25/24,252NR12241      ,O ,15 ,C ,                ,James,
       538 ,     4 ,   4 ,BRED       , 134 ,02/18/24,252NR12241      ,- ,15 ,A ,                ,James,
       564 ,    11 ,   4 ,FRESH      ,   0 ,08/07/23,                ,  ,   ,  ,                ,,
       564 ,     3 ,   4 ,LAB        ,   5 ,08/12/23,ERE             ,  ,   ,  ,                ,,
       564 ,     3 ,   4 ,LAB        ,  13 ,08/20/23,EASE            ,  ,   ,  ,                ,,
       564 ,     3 ,   4 ,PREG       ,  50 ,09/26/23,528J5008        ,P ,15 ,C ,                ,James,
       580 ,    11 ,   4 ,FRESH      ,   0 ,08/08/23,                ,  ,   ,  ,                ,,
       580 ,     3 ,   4 ,MOVE       ,  38 ,09/15/23,F003T001        ,  ,   ,  ,                ,,
       580 ,     1 ,   4 ,OPEN       ,  55 ,10/02/23,528J4887        ,O ,15 ,A ,                ,James,
       580 ,     1 ,   4 ,OPEN       ,  74 ,10/21/23,11AN1504        ,O ,15 ,L ,                ,James,
       580 ,     4 ,   4 ,OPEN       , 119 ,12/05/23,29NR12241       ,O ,15 ,L ,                ,James,
       580 ,     4 ,   4 ,LAME       , 160 ,01/15/24,LF W            ,  ,   ,  ,                ,,
       580 ,     4 ,   4 ,OPEN       , 161 ,01/16/24,29NR12241       ,O ,15 ,E ,                ,James,
       580 ,     4 ,   4 ,OPEN       , 184 ,02/08/24,252NR12241      ,O , 4 ,A ,                ,Relief,
       580 ,     4 ,   4 ,BRED       , 204 ,02/28/24,252NR12241      ,- ,15 ,B ,                ,James,
       614 ,     4 ,   3 ,LAB        , 227 ,07/09/23,EXT             ,  ,   ,  ,                ,,
       614 ,     4 ,   3 ,ABORT      , 293 ,09/13/23,157 DAYS        ,  ,   ,  ,                ,,
       614 ,     4 ,   3 ,DNB        , 323 ,10/13/23,                ,  ,   ,  ,                ,,
       614 ,     4 ,   3 ,MOVE       , 342 ,11/01/23,F004T002        ,  ,   ,  ,                ,,
       614 ,     8 ,   3 ,SOLD       , 348 ,11/07/23,BREEDING        ,  ,   ,  ,                ,,
       614 ,     2 ,   3 ,MOVE       , 349 ,11/08/23,F002T008        ,  ,   ,  ,                ,,
       644 ,     2 ,   4 ,OPEN       ,  97 ,07/11/23,11AN2277        ,O ,15 ,C ,                ,James,
       644 ,     1 ,   4 ,PREG       , 119 ,08/02/23,11AN2277        ,P ,15 ,A ,                ,James,
       648 ,     2 ,   4 ,OPEN       ,  64 ,07/18/23,29NR12222       ,O ,15 ,C ,                ,James,
       648 ,     2 ,   4 ,OPEN       ,  73 ,07/27/23,29NR12222       ,O ,15 ,A ,                ,James,
       648 ,     2 ,   4 ,OPEN       ,  88 ,08/11/23,11AN2277        ,O ,15 ,A ,                ,James,
       648 ,     2 ,   4 ,PREG       , 106 ,08/29/23,11AN2277        ,P ,15 ,A ,                ,James,
       650 ,     1 ,   3 ,DRY        , 296 ,08/17/23,                ,  ,   ,  ,                ,,
       650 ,    10 ,   3 ,CUDMV      , 330 ,09/20/23,                ,  ,   ,  ,                ,,
       650 ,    11 ,   4 ,FRESH      ,   0 ,10/27/23,                ,  ,   ,  ,                ,,
       650 ,     3 ,   4 ,MAST       ,   1 ,10/28/23,BLOOD           ,  ,   ,  ,                ,,
       650 ,     3 ,   4 ,LAB        ,  14 ,11/10/23,PASTE           ,  ,   ,  ,                ,,
       650 ,     3 ,   4 ,LAB        ,  37 ,12/03/23,AR              ,  ,   ,  ,                ,,
       650 ,     3 ,   4 ,MOVE       ,  57 ,12/23/23,F003T001        ,  ,   ,  ,                ,,
       650 ,     1 ,   4 ,MOVE       ,  57 ,12/23/23,F001T004        ,  ,   ,  ,                ,,
       650 ,     4 ,   4 ,OPEN       ,  58 ,12/24/23,252NR12241      ,O ,15 ,E ,                ,James,
       650 ,     4 ,   4 ,BRED       , 106 ,02/10/24,252NR12241      ,- ,15 ,A ,                ,James,
       675 ,     3 ,   4 ,MOVE       ,  47 ,07/08/23,F003T002        ,  ,   ,  ,                ,,
       675 ,     2 ,   4 ,OPEN       ,  72 ,08/02/23,29NR12222       ,O ,15 ,A ,                ,James,
       675 ,     2 ,   4 ,PREG       ,  95 ,08/25/23,29NR12195       ,P ,15 ,A ,                ,James,
       675 ,     2 ,   4 ,MOVE       , 164 ,11/02/23,F002T001        ,  ,   ,  ,                ,,
       677 ,    11 ,   4 ,FRESH      ,   0 ,08/25/23,                ,  ,   ,  ,                ,,
       677 ,     3 ,   4 ,MOVE       ,  39 ,10/03/23,F003T002        ,  ,   ,  ,                ,,
       677 ,     2 ,   4 ,OPEN       ,  62 ,10/26/23,11AN1504        ,O ,15 ,L ,                ,James,
       677 ,     2 ,   4 ,MOVE       ,  68 ,11/01/23,F002T004        ,  ,   ,  ,                ,,
       677 ,     2 ,   4 ,OPEN       ,  85 ,11/18/23,BULL            ,O , 0 ,C ,                ,Tech# 0,
       677 ,     2 ,   4 ,OPEN       , 108 ,12/11/23,252NR12241      ,O ,15 ,E ,                ,James,
       677 ,     2 ,   4 ,OPEN       , 133 ,01/05/24,252NR12241      ,O ,15 ,L ,                ,James,
       677 ,     2 ,   4 ,OPEN       , 156 ,01/28/24,252NR12241      ,O ,15 ,A ,                ,James,
       677 ,     2 ,   4 ,BRED       , 180 ,02/21/24,252NR12241      ,- ,15 ,A ,                ,James,
       691 ,     1 ,   3 ,LAME       , 243 ,07/17/23,                ,  ,   ,  ,                ,,
       691 ,     1 ,   3 ,DRY        , 295 ,09/07/23,                ,  ,   ,  ,                ,,
       691 ,    10 ,   3 ,CUDMV      , 324 ,10/06/23,                ,  ,   ,  ,                ,,
       691 ,    11 ,   4 ,FRESH      ,   0 ,11/06/23,                ,  ,   ,  ,                ,,
       691 ,     3 ,   4 ,LAB        ,   9 ,11/15/23,A R             ,  ,   ,  ,                ,,
       691 ,     3 ,   4 ,MAST       ,   9 ,11/15/23,LR              ,  ,   ,  ,                ,,
       691 ,     7 ,   4 ,LAB        ,  10 ,11/16/23,ERE             ,  ,   ,  ,                ,,
       691 ,     7 ,   4 ,LAB        ,  10 ,11/16/23,A R             ,  ,   ,  ,                ,,
       691 ,     7 ,   4 ,LAB        ,  16 ,11/22/23,A R             ,  ,   ,  ,                ,,
       691 ,     7 ,   4 ,MOVE       ,  24 ,11/30/23,F007T003        ,  ,   ,  ,                ,,
       691 ,     3 ,   4 ,MOVE       ,  47 ,12/23/23,F003T004        ,  ,   ,  ,                ,,
       691 ,     4 ,   4 ,OPEN       ,  75 ,01/20/24,252NR12241      ,O ,15 ,C ,                ,James,
       691 ,     4 ,   4 ,BRED       ,  97 ,02/11/24,252NR12241      ,- ,15 ,A ,                ,James,
       691 ,     4 ,   4 ,MAST       ,  99 ,02/13/24,LR              ,  ,   ,  ,                ,,
       693 ,     5 ,   3 ,MOVE       , 336 ,07/28/23,F005T050        ,  ,   ,  ,                ,,
       693 ,    50 ,   3 ,MOVE       , 336 ,07/28/23,F050T004        ,  ,   ,  ,                ,,
       693 ,     4 ,   3 ,DNB        , 354 ,08/15/23,                ,  ,   ,  ,                ,,
       693 ,     4 ,   3 ,MOVE       , 432 ,11/01/23,F004T002        ,  ,   ,  ,                ,,
       694 ,     1 ,   4 ,OPEN       ,  50 ,08/19/23,29NR12195       ,O ,15 ,C ,                ,James,
       694 ,     1 ,   4 ,OPEN       ,  74 ,09/12/23,528J5008        ,O ,15 ,A ,                ,James,
       694 ,     1 ,   4 ,OPEN       ,  97 ,10/05/23,528J4887        ,O ,15 ,A ,                ,James,
       694 ,     1 ,   4 ,PREG       , 120 ,10/28/23,11AN1504        ,P ,15 ,A ,                ,James,
       694 ,     1 ,   4 ,MOVE       , 125 ,11/02/23,F001T002        ,  ,   ,  ,                ,,
       704 ,     3 ,   4 ,MOVE       ,  49 ,07/20/23,F003T002        ,  ,   ,  ,                ,,
       704 ,     2 ,   4 ,PREG       ,  71 ,08/11/23,29NR12195       ,P ,15 ,A ,                ,James,
       704 ,     2 ,   4 ,MOVE       , 154 ,11/02/23,F002T001        ,  ,   ,  ,                ,,
       704 ,     2 ,   4 ,LAME       , 250 ,02/06/24,RR W            ,  ,   ,  ,                ,,
       714 ,     2 ,   3 ,DRY        , 477 ,12/15/23,                ,  ,   ,  ,                ,,
       714 ,    10 ,   3 ,CUDMV      , 504 ,01/11/24,                ,  ,   ,  ,                ,,
       714 ,    11 ,   4 ,FRESH      ,   0 ,01/29/24,                ,  ,   ,  ,                ,,
       716 ,     4 ,   3 ,DNB        , 330 ,07/18/23,                ,  ,   ,  ,                ,,
       716 ,     4 ,   3 ,MOVE       , 436 ,11/01/23,F004T002        ,  ,   ,  ,                ,,
       716 ,     1 ,   3 ,MOVE       , 502 ,01/06/24,F001T003        ,  ,   ,  ,                ,,
       719 ,    11 ,   4 ,FRESH      ,   0 ,08/30/23,                ,  ,   ,  ,                ,,
       719 ,     3 ,   4 ,LAB        ,  16 ,09/15/23,ERE             ,  ,   ,  ,                ,,
       719 ,     3 ,   4 ,MOVE       ,  35 ,10/04/23,F003T004        ,  ,   ,  ,                ,,
       719 ,     4 ,   4 ,MAST       ,  44 ,10/13/23,LF RR           ,  ,   ,  ,                ,,
       719 ,     7 ,   4 ,LAB        ,  45 ,10/14/23,ERE             ,  ,   ,  ,                ,,
       719 ,     7 ,   4 ,OPEN       ,  58 ,10/27/23,11AN1504        ,O ,15 ,L ,                ,James,
       719 ,     7 ,   4 ,MOVE       ,  64 ,11/02/23,F007T005        ,  ,   ,  ,                ,,
       719 ,     5 ,   4 ,OPEN       ,  79 ,11/17/23,29NR12195       ,O , 4 ,C ,                ,Relief,
       725 ,    11 ,   4 ,FRESH      ,   0 ,07/22/23,                ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   2 ,07/24/23,PASTE E         ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   3 ,07/25/23,                ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   4 ,07/26/23,E               ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   5 ,07/27/23,EASE            ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   5 ,07/27/23,PASTE           ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   6 ,07/28/23,EASE            ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   6 ,07/28/23,PASTE           ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,METR       ,   6 ,07/28/23,                ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   7 ,07/29/23,PASTE           ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   8 ,07/30/23,PASTE           ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   9 ,07/31/23,PASTE           ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,   9 ,07/31/23,                ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,  10 ,08/01/23,PASTE           ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,  13 ,08/04/23,PASTE E         ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,  14 ,08/05/23,PASTE           ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,  16 ,08/07/23,PASTE           ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,MOVE       ,  20 ,08/11/23,F003T005        ,  ,   ,  ,                ,,
       725 ,     3 ,   4 ,LAB        ,  20 ,08/11/23,ERE             ,  ,   ,  ,                ,,
       725 ,     5 ,   4 ,OPEN       , 146 ,12/15/23,252NR12241      ,O ,15 ,A ,                ,James,
       725 ,     5 ,   4 ,PREG       , 175 ,01/13/24,252NR12241      ,P , 4 ,A ,                ,Relief,
       737 ,    10 ,   4 ,FRESH      ,   0 ,07/04/23,                ,  ,   ,  ,                ,,
       737 ,     3 ,   4 ,LAB        ,   1 ,07/05/23,PASTE           ,  ,   ,  ,                ,,
       737 ,     1 ,   4 ,OPEN       ,  87 ,09/29/23,528J5008        ,O ,15 ,A ,                ,James,
       737 ,     1 ,   4 ,OPEN       , 123 ,11/04/23,29NR12195       ,O ,15 ,A ,                ,James,
       737 ,     1 ,   4 ,OPEN       , 172 ,12/23/23,252NR12241      ,O ,15 ,C ,                ,James,
       737 ,     1 ,   4 ,OPEN       , 195 ,01/15/24,252NR12241      ,O ,15 ,E ,                ,James,
       737 ,     1 ,   4 ,OPEN       , 217 ,02/06/24,252NR12241      ,O ,15 ,C ,                ,James,
       737 ,     1 ,   4 ,BRED       , 239 ,02/28/24,252NR12241      ,- ,15 ,C ,                ,James,
       740 ,     2 ,   4 ,PREG       , 102 ,08/06/23,29NR12222       ,P ,15 ,A ,                ,James,
       740 ,     2 ,   4 ,MOVE       , 190 ,11/02/23,F002T001        ,  ,   ,  ,                ,,
       747 ,    11 ,   4 ,FRESH      ,   0 ,07/31/23,                ,  ,   ,  ,                ,,
       747 ,     3 ,   4 ,MOVE       ,  38 ,09/07/23,F003T004        ,  ,   ,  ,                ,,
       747 ,     4 ,   4 ,OPEN       ,  79 ,10/18/23,528J4887        ,O ,15 ,A ,                ,James,
       747 ,     4 ,   4 ,PREG       , 105 ,11/13/23,29NR12195       ,P ,15 ,L ,                ,James,
       751 ,     1 ,   3 ,DRY        , 398 ,12/08/23,                ,  ,   ,  ,                ,,
       751 ,    10 ,   3 ,CUDMV      , 432 ,01/11/24,                ,  ,   ,  ,                ,,
       751 ,    11 ,   4 ,FRESH      ,   0 ,02/05/24,                ,  ,   ,  ,                ,,
       751 ,     3 ,   4 ,LAB        ,   1 ,02/06/24,RA              ,  ,   ,  ,                ,,
       751 ,     3 ,   4 ,LAB        ,  24 ,02/29/24,RA              ,  ,   ,  ,                ,,
       751 ,     3 ,   4 ,LAB        ,  25 ,03/01/24,RA              ,  ,   ,  ,                ,,
       755 ,    11 ,   4 ,FRESH      ,   0 ,07/23/23,                ,  ,   ,  ,                ,,
       755 ,     3 ,   4 ,LAB        ,   3 ,07/26/23,E               ,  ,   ,  ,                ,,
       755 ,     3 ,   4 ,LAB        ,   5 ,07/28/23,EASE            ,  ,   ,  ,                ,,
       755 ,     3 ,   4 ,LAB        ,   5 ,07/28/23,PASTE           ,  ,   ,  ,                ,,
       755 ,     3 ,   4 ,LAB        ,   6 ,07/29/23,ERE             ,  ,   ,  ,                ,,
       755 ,     3 ,   4 ,LAB        ,   6 ,07/29/23,PASTE           ,  ,   ,  ,                ,,
       755 ,     3 ,   4 ,MOVE       ,  39 ,08/31/23,F003T002        ,  ,   ,  ,                ,,
       755 ,     2 ,   4 ,OPEN       ,  51 ,09/12/23,528J5008        ,O ,15 ,A ,                ,James,
       755 ,     2 ,   4 ,OPEN       ,  73 ,10/04/23,253MO7240       ,O ,15 ,A ,                ,James,
       755 ,     2 ,   4 ,PREG       ,  96 ,10/27/23,11AN1504        ,P ,15 ,L ,                ,James,
       758 ,    11 ,   4 ,FRESH      ,   0 ,07/23/23,                ,  ,   ,  ,                ,,
       758 ,     3 ,   4 ,LAB        ,   1 ,07/24/23,PASTE E         ,  ,   ,  ,                ,,
       758 ,     3 ,   4 ,LAB        ,  20 ,08/12/23,ERE             ,  ,   ,  ,                ,,
       758 ,     3 ,   4 ,MOVE       ,  39 ,08/31/23,F003T002        ,  ,   ,  ,                ,,
       758 ,     2 ,   4 ,OPEN       ,  68 ,09/29/23,528J5008        ,O ,15 ,C ,                ,James,
       758 ,     2 ,   4 ,OPEN       ,  91 ,10/22/23,11AN1504        ,O ,15 ,L ,                ,James,
       758 ,     2 ,   4 ,MOVE       , 101 ,11/01/23,F002T004        ,  ,   ,  ,                ,,
       758 ,     4 ,   4 ,OPEN       , 113 ,11/13/23,29NR12195       ,O ,15 ,A ,                ,James,
       758 ,     4 ,   4 ,LAME       , 135 ,12/05/23,LF              ,  ,   ,  ,                ,,
       758 ,     4 ,   4 ,OPEN       , 176 ,01/15/24,252NR12241      ,O ,15 ,E ,                ,James,
       758 ,     4 ,   4 ,BRED       , 207 ,02/15/24,252NR12241      ,- ,15 ,E ,                ,James,
       758 ,     4 ,   4 ,LAME       , 219 ,02/27/24,RF              ,  ,   ,  ,                ,,
       767 ,     1 ,   3 ,DRY        , 326 ,09/15/23,                ,  ,   ,  ,                ,,
       767 ,    10 ,   3 ,CUDMV      , 360 ,10/19/23,                ,  ,   ,  ,                ,,
       767 ,    11 ,   4 ,FRESH      ,   0 ,12/08/23,                ,  ,   ,  ,                ,,
       767 ,     7 ,   4 ,MAST       ,  24 ,01/01/24,                ,  ,   ,  ,                ,,
       767 ,     7 ,   4 ,MOVE       ,  32 ,01/09/24,F007T015        ,  ,   ,  ,                ,,
       767 ,    15 ,   4 ,SOLD       ,  32 ,01/09/24,MASTITS         ,  ,   ,  ,                ,,
       770 ,    11 ,   4 ,FRESH      ,   0 ,08/02/23,                ,  ,   ,  ,                ,,
       770 ,     3 ,   4 ,LAB        ,  10 ,08/12/23,ERE             ,  ,   ,  ,                ,,
       770 ,     3 ,   4 ,MOVE       ,  38 ,09/09/23,F003T002        ,  ,   ,  ,                ,,
       770 ,     2 ,   4 ,OPEN       ,  58 ,09/29/23,528J5008        ,O ,15 ,A ,                ,James,
       770 ,     2 ,   4 ,OPEN       ,  81 ,10/22/23,11AN1504        ,O ,15 ,L ,                ,James,
       770 ,     2 ,   4 ,MOVE       ,  91 ,11/01/23,F002T004        ,  ,   ,  ,                ,,
       770 ,     4 ,   4 ,OPEN       , 104 ,11/14/23,29NR12195       ,O ,15 ,A ,                ,James,
       770 ,     4 ,   4 ,LAME       , 125 ,12/05/23,LR T            ,  ,   ,  ,                ,,
       770 ,     4 ,   4 ,PREG       , 128 ,12/08/23,29NR12241       ,P ,15 ,C ,                ,James,
       770 ,     4 ,   4 ,MAST       , 183 ,02/01/24,LRLBLOOD        ,  ,   ,  ,                ,,
       770 ,     7 ,   4 ,MOVE       , 187 ,02/05/24,F007T004        ,  ,   ,  ,                ,,
       772 ,     5 ,   3 ,DRY        , 300 ,02/29/24,                ,  ,   ,  ,                ,,
       776 ,     4 ,   3 ,DRY        , 350 ,08/17/23,                ,  ,   ,  ,                ,,
       776 ,    10 ,   3 ,CUDMV      , 377 ,09/13/23,                ,  ,   ,  ,                ,,
       776 ,    11 ,   4 ,FRESH      ,   0 ,10/19/23,                ,  ,   ,  ,                ,,
       776 ,     3 ,   4 ,LAB        ,   2 ,10/21/23,PASTE           ,  ,   ,  ,                ,,
       776 ,     3 ,   4 ,LAB        ,   4 ,10/23/23,PASTE           ,  ,   ,  ,                ,,
       776 ,     3 ,   4 ,MAST       ,  12 ,10/31/23,LF              ,  ,   ,  ,                ,,
       776 ,     7 ,   4 ,LAB        ,  25 ,11/13/23,ER              ,  ,   ,  ,                ,,
       776 ,     7 ,   4 ,MOVE       ,  29 ,11/17/23,F007T005        ,  ,   ,  ,                ,,
       776 ,     5 ,   4 ,OPEN       ,  66 ,12/24/23,252NR12241      ,O ,15 ,L ,                ,James,
       780 ,    11 ,   4 ,FRESH      ,   0 ,08/17/23,                ,  ,   ,  ,                ,,
       780 ,     3 ,   4 ,LAB        ,   5 ,08/22/23,PASTE           ,  ,   ,  ,                ,,
       780 ,     3 ,   4 ,MOVE       ,  39 ,09/25/23,F003T004        ,  ,   ,  ,                ,,
       780 ,     3 ,   4 ,MOVE       ,  47 ,10/03/23,F003T002        ,  ,   ,  ,                ,,
       780 ,     2 ,   4 ,OPEN       ,  57 ,10/13/23,528J4887        ,O ,15 ,A ,                ,James,
       780 ,     2 ,   4 ,MOVE       ,  76 ,11/01/23,F002T004        ,  ,   ,  ,                ,,
       780 ,     4 ,   4 ,OPEN       ,  80 ,11/05/23,11AN1504        ,O ,15 ,L ,                ,James,
       780 ,     4 ,   4 ,OPEN       , 102 ,11/27/23,252NR12195      ,O ,15 ,A ,                ,James,
       780 ,     4 ,   4 ,OPEN       , 123 ,12/18/23,252NR12241      ,O ,15 ,E ,                ,James,
       780 ,     4 ,   4 ,OPEN       , 144 ,01/08/24,252NR12241      ,O ,15 ,C ,                ,James,
       780 ,     4 ,   4 ,OPEN       , 167 ,01/31/24,252NR12241      ,O ,15 ,A ,                ,James,
       780 ,     4 ,   4 ,BRED       , 186 ,02/19/24,252NR12241      ,- ,15 ,E ,                ,James,
       791 ,     3 ,   4 ,LAB        ,   5 ,07/01/23,PASTE           ,  ,   ,  ,                ,,
       791 ,     3 ,   4 ,LAB        ,   6 ,07/02/23,PASTE           ,  ,   ,  ,                ,,
       791 ,     3 ,   4 ,MAST       ,   8 ,07/04/23,RF BLOOD        ,  ,   ,  ,                ,,
       791 ,     3 ,   4 ,LAB        ,   8 ,07/04/23,PASTE           ,  ,   ,  ,                ,,
       791 ,     3 ,   4 ,LAME       ,   8 ,07/04/23,RR A            ,  ,   ,  ,                ,,
       791 ,     7 ,   4 ,MOVE       ,  30 ,07/26/23,F007T003        ,  ,   ,  ,                ,,
       791 ,     3 ,   4 ,MOVE       ,  43 ,08/08/23,F003T001        ,  ,   ,  ,                ,,
       791 ,     1 ,   4 ,PREG       ,  80 ,09/14/23,528J5008        ,P ,15 ,A ,                ,James,
       791 ,     1 ,   4 ,LAME       , 231 ,02/12/24,RR A            ,  ,   ,  ,                ,,
       792 ,     1 ,   3 ,DRY        , 407 ,01/25/24,                ,  ,   ,  ,                ,,
       792 ,    10 ,   3 ,CUDMV      , 434 ,02/21/24,                ,  ,   ,  ,                ,,
       795 ,     2 ,   3 ,PREG       , 229 ,07/29/23,11AN2277        ,P ,15 ,A ,                ,James,
       795 ,     2 ,   3 ,MOVE       , 325 ,11/02/23,F002T001        ,  ,   ,  ,                ,,
       798 ,     2 ,   4 ,FRESH      ,   0 ,08/11/23,                ,  ,   ,  ,                ,,
       798 ,     2 ,   4 ,BRED       ,  51 ,10/01/23,528J4887        ,- ,15 ,A ,                ,James,
